"Institution.Source","Catalog.Number","Number.of.specimens","Family","Scientific.name","Locality","County","Latitude","Longitude","State","Date.Collected","Field.Locality.number","Collectors"
"CUMV","11958","81","Fundulidae","Fundulus rathbuni","Trib. of Sugartree Cr., 6 mi. E of Leasburg on NC 158","Person",36.385114,-79.06287,"NC","3/20/1944","ECR 1408","Edward Raney;  Royal Suttkus;  L. Kezer"
"CUMV","10076","20","Fundulidae","Fundulus rathbuni","Brush Cr. (trib. of Deep R.), 0.25 mi. W Chatham County line on Route  64, 5 mi. W of Silver City","Randolph",35.743683,-79.549569,"NC","4/5/1936","ECR 0740","Ernest Lachner;  Edward Raney;  James Kezer"
"CUMV","69916","6","Fundulidae","Fundulus rathbuni","Uwharrie R. downstream of Rt. 64 bridge; 9.2 mi. NW of       Asheboro","Randolph",35.735593,-79.981664,"NC","7/12/1979","LAG 83-09","L. Greenberg;  D. Holtzman"
"CUMV","25866","1","Fundulidae","Fundulus rathbuni","Trib. of Neuse R., 14 mi. S of Creedmore on NC 15A","Wake",36.017861,-78.897188,"NC","4/1/1950","ECR 2518","Edward Raney;  Charles Cole;  Robert Gibbs;  E. Deubler; et al."
"CUMV","34486","2","Fundulidae","Fundulus rathbuni","Trib.of Neuse R., 3 mi. S of jct. of NC 50 & NC 98 on NC 50","Wake",35.951999,-78.687155,"NC","9/16/1955","BBC 553","Bruce Collette;  Rudolf Miller;  John Ramsey"
"CUMV","11488","14","Fundulidae","Fundulus rathbuni","Trib. of Yadkin R., 1.2 mi. W of Moravian Falls on Route 18","Wilkes",36.08816,-81.200441,"NC","4/6/1943","ECR 1316","Edward Raney;  Robert Ross;  Royal Suttkus"
"CUMV","34378","1","Fundulidae","Fundulus waccamensis","Lake Waccamaw","Columbus",34.287784,-78.511122,"NC","7/15/1955","DEL 59JUL16","D. Louder"
"CUMV","11815","4","Fundulidae","Fundulus waccamensis","Lake Waccamaw, N Shore","Columbus",34.310343,-78.539117,"NC","6/25/1942","ECR 1200","Edward Raney;  Ernest Lachner;  Robert Ross"
"CUMV","49601","1","Fundulidae","Fundulus waccamensis","Lake Waccamaw, N shore, in front of Goldston Hotel","Columbus",34.307932,-78.526672,"NC","9/5/1960","TWR 063","Timothy Robbins;  Neal Foster"
"CUMV","49607","11","Fundulidae","Fundulus waccamensis","Lake Waccamaw, W shore","Columbus",34.279284,-78.529419,"NC","9/5/1960","TWR 064","Timothy Robbins;  Neal Foster"
"CUMV","9287","101","Fundulidae","Fundulus waccamensis","North shore Lake Waccamaw","Columbus",34.310343,-78.539117,"NC","3/29/1937","ECR 0960","Ernest Lachner;  Roman Pfeiffer;  Edward Raney"
"CUMV","30032","6","Fundulidae","Fundulus waccamensis","Northwest shore of Lake Waccamaw at Jones Hotel, by western tip of NC 214","Columbus",34.310343,-78.539117,"NC","3/25/1952","ECR 2764","Edward Raney;  Charles Robins;  Bruce Collette;  John New; et al."
"CUMV","6965","4","Fundulidae","Lucania parva","Beaufort; Shackelford Banks at Mullet Pond","Carteret",34.684455,-76.64076,"NC","8/2/1909","FH 13AUG03","Francis Harper"
"CUMV","6964","57","Fundulidae","Lucania parva","Beaufort; Shackelford Banks at Mullet Pond","Carteret",34.684455,-76.64076,"NC","8/21/1909","FH 13AUG22","Francis Harper"
"Fred C. Rohde (NOAA)","","1","Fundulidae","Fundulus heteroclitus","Lake Waccamaw, off SR 1900, Canal Cove Road","Columbus",34.31692,-78.533379,"NC","3/28/2020","","Fred C. Rohde"
"INHS","49799","1","Fundulidae","Fundulus diaphanus","Mallard Creek, Goose Creek State Park, confluence with Pamlico River","Beaufort",35.46286,-76.891872,"NC","6/16/1997","","G.B. Mottesi, M.E. Savacool & J.B. Greenwood"
"INHS","27247","1","Fundulidae","Fundulus lineolatus","South River, 3 mi SW Garland","Bladen",34.761472,-78.409098,"NC","5/1/1979","","L.M. Page & W.L. Keller"
"INHS","75114","2","Fundulidae","Fundulus lineolatus","Lake Waccamaw, Waccamaw","Columbus",34.261294,-78.479959,"NC","6/15/1976","","L.M. Page, B.M. Burr & D.G. Buth"
"INHS","87527","3","Fundulidae","Fundulus lineolatus","Lake Waccamaw, Waccamaw","Columbus",34.261294,-78.479959,"NC","7/25/1981","","D.L. Swofford & R.D. Swofford"
"INHS","57881","4","Fundulidae","Fundulus lineolatus","ditch, jct. Catfish Lake Rd. & Little Rd.","Craven",34.953472,-77.033278,"NC","7/23/1981","","D.L. Swofford & R.D. Swofford"
"INHS","29691","3","Fundulidae","Fundulus lineolatus","James Creek, Fort Bragg Military Res., 7 mi ENE Southern Pines, downstream of Johnson Mill Pond","Hoke",35.212995,-79.241553,"NC","6/17/1992","","P.J. Perea, P.B. Bayley, T. Krzyik, J. Stone & C. Dyson"
"INHS","29634","1","Fundulidae","Fundulus lineolatus","James Creek, Fort Bragg Military Res., 7 mi ENE Southern Pines, downstream of Johnson Mill Pond","Hoke",35.212995,-79.241553,"NC","10/15/1992","","P.J. Perea, P.B. Bayley, T. Krzyik, J. Stone & C. Dyson"
