"Institution.Source","Catalog.Number","Number.of.specimens","Family","Scientific.name","Locality","County","Latitude","Longitude","State","Date.Collected","Field.Locality.number","Collectors","...14"
"NCDMF",,63,"Paralichthyidae","Paralichthys lethostigma","CF12, NORTH OF SNOW’S CUT",,34.16167,-77.95583,"NC","030403","1901030200",,
"NCDMF",,8,"Paralichthyidae","Paralichthys lethostigma","CF12, NORTH OF SNOW’S CUT",,34.16167,-77.95583,"NC","030505","1901030200",,
"NCDMF",,4,"Paralichthyidae","Paralichthys lethostigma","CF12, NORTH OF SNOW’S CUT",,34.16167,-77.95583,"NC","040331","1901030200",,
"NCDMF",,5,"Paralichthyidae","Paralichthys lethostigma","CF12, NORTH OF SNOW’S CUT",,34.16167,-77.95583,"NC","040504","1901030200",,
"NCDMF",,1,"Paralichthyidae","Paralichthys lethostigma","CF12, NORTH OF SNOW’S CUT",,34.16167,-77.95583,"NC","050422","1901030200",,
"NCDMF",,1,"Paralichthyidae","Paralichthys lethostigma","CF11, BRUNSWICK RIVER",,34.219,-77.979,"NC","020220","1902020000",,
"NCDMF",,1,"Paralichthyidae","Paralichthys lethostigma","CF11, BRUNSWICK RIVER",,34.219,-77.979,"NC","021206","1902020000",,
"NCDMF",,14,"Paralichthyidae","Paralichthys lethostigma","CF11, BRUNSWICK RIVER",,34.219,-77.979,"NC","030307","1902020000",,
"NCDMF",,34,"Paralichthyidae","Paralichthys lethostigma","CF11, BRUNSWICK RIVER",,34.219,-77.979,"NC","030403","1902020000",,
"NCDMF",,5,"Paralichthyidae","Paralichthys lethostigma","CF11, BRUNSWICK RIVER",,34.219,-77.979,"NC","030505","1902020000",,
"NCDMF",,3,"Paralichthyidae","Paralichthys lethostigma","CF11, BRUNSWICK RIVER",,34.219,-77.979,"NC","040123","1902020000",,
"NCDMF",,1,"Paralichthyidae","Paralichthys lethostigma","CF11, BRUNSWICK RIVER",,34.219,-77.979,"NC","040519","1902020000",,
"NCDMF",,1,"Paralichthyidae","Paralichthys lethostigma","CF11, BRUNSWICK RIVER",,34.219,-77.979,"NC","050216","1902020000",,
"NCDMF",,1,"Paralichthyidae","Paralichthys lethostigma","CF11, BRUNSWICK RIVER",,34.219,-77.979,"NC","050426","1902020000",,
"NCDMF",,1,"Paralichthyidae","Paralichthys lethostigma","CF11, BRUNSWICK RIVER",,34.219,-77.979,"NC","050519","1902020000",,
"NCDMF",,1,"Paralichthyidae","Paralichthys lethostigma","CF11, BRUNSWICK RIVER",,34.23194,-77.98583,"NC","030701","1902020000",,
"NCDMF",,5,"Paralichthyidae","Paralichthys lethostigma","CF11, BRUNSWICK RIVER",,34.23194,-77.98583,"NC","030725","1902020000",,
"NCDMF",,1,"Paralichthyidae","Paralichthys lethostigma","CF11, BRUNSWICK RIVER",,34.23194,-77.98583,"NC","030909","1902020000",,
"NCDMF",,2,"Paralichthyidae","Paralichthys lethostigma","CF11, BRUNSWICK RIVER",,34.23194,-77.98583,"NC","031007","1902020000",,
"NCDMF",,1,"Paralichthyidae","Paralichthys lethostigma","CF11, BRUNSWICK RIVER",,34.23194,-77.98583,"NC","031217","1902020000",,
"NCDMF",,1,"Paralichthyidae","Paralichthys lethostigma","CF11, BRUNSWICK RIVER",,34.23194,-77.98583,"NC","040415","1902020000",,
"NCDMF",,5,"Paralichthyidae","Paralichthys lethostigma","CF11, BRUNSWICK RIVER",,34.23194,-77.98583,"NC","040512","1902020000",,
"NCDMF",,1,"Paralichthyidae","Paralichthys lethostigma","CF11, BRUNSWICK RIVER",,34.23194,-77.98583,"NC","040520","1902020000",,
"NCDMF",,3,"Paralichthyidae","Paralichthys lethostigma","CF11, BRUNSWICK RIVER",,34.23194,-77.98583,"NC","040714","1902020000",,
"NCDMF",,2,"Paralichthyidae","Paralichthys lethostigma","CF11, BRUNSWICK RIVER",,34.23194,-77.98583,"NC","040824","1902020000",,
"NCDMF",,1,"Paralichthyidae","Paralichthys lethostigma","CF11, BRUNSWICK RIVER",,34.23194,-77.98583,"NC","050106","1902020000",,
"NCDMF",,4,"Paralichthyidae","Paralichthys lethostigma","CF11, BRUNSWICK RIVER",,34.23194,-77.98583,"NC","050322","1902020000",,
"NCDMF",,7,"Paralichthyidae","Paralichthys lethostigma","CF11, BRUNSWICK RIVER",,34.23194,-77.98583,"NC","050406","1902020000",,
"NCDMF",,1,"Paralichthyidae","Paralichthys lethostigma","CF11, BRUNSWICK RIVER",,34.23194,-77.98583,"NC","050519","1902020000",,
"NCDMF",,1,"Paralichthyidae","Paralichthys lethostigma","CF11, BRUNSWICK RIVER",,34.23194,-77.98583,"NC","050616","1902020000",,
"NCDMF",,1,"Paralichthyidae","Paralichthys lethostigma","CF11, BRUNSWICK RIVER",,34.23194,-77.98583,"NC","050701","1902020000",,
"NCDMF",,1,"Paralichthyidae","Paralichthys lethostigma","CF11, BRUNSWICK RIVER",,34.23194,-77.98583,"NC","050721","1902020000",,
"NCDMF",,6,"Paralichthyidae","Paralichthys lethostigma","CF11, BRUNSWICK RIVER",,34.23194,-77.98583,"NC","050801","1902020000",,
"NCDMF",,1,"Paralichthyidae","Paralichthys lethostigma","CF11, BRUNSWICK RIVER",,34.23194,-77.98583,"NC","050829","1902020000",,
"NCDMF",,1,"Paralichthyidae","Paralichthys lethostigma","CF11, BRUNSWICK RIVER",,34.23194,-77.98583,"NC","051011","1902020000",,
"NCDMF",,3,"Paralichthyidae","Paralichthys lethostigma","CF11, BRUNSWICK RIVER",,34.23194,-77.98583,"NC","051123","1902020000",,
"NCDMF",,1,"Paralichthyidae","Paralichthys lethostigma","CF11, BRUNSWICK RIVER",,34.23194,-77.98583,"NC","051129","1902020000",,
"NCDMF",,2,"Paralichthyidae","Paralichthys lethostigma","CF11, BRUNSWICK RIVER",,34.23194,-77.98583,"NC","060508","1902020000",,
"NCDMF",,1,"Paralichthyidae","Paralichthys lethostigma","CF11, BRUNSWICK RIVER",,34.23194,-77.98583,"NC","060714","1902020000",,
"NCDMF",,2,"Paralichthyidae","Paralichthys lethostigma","CF11, BRUNSWICK RIVER",,34.23194,-77.98583,"NC","060929","1902020000",,
"NCDMF",,1,"Paralichthyidae","Paralichthys lethostigma","CF11, BRUNSWICK RIVER",,34.23194,-77.98583,"NC","061027","1902020000",,
"NCDMF",,3,"Paralichthyidae","Paralichthys lethostigma","CF11, BRUNSWICK RIVER",,34.23194,-77.98583,"NC","061030","1902020000",,
"NCDMF",,1,"Paralichthyidae","Paralichthys lethostigma","CF11, BRUNSWICK RIVER",,34.23194,-77.98583,"NC","061113","1902020000",,
