"Institution.Source","Catalog.Number","Number.of.specimens","Family","Scientific.name","Locality","County","Latitude","Longitude","State","Date.Collected","Field.Locality.number","Collectors","...14","...15","...16","...17","...18","...19","...20","...21","...22","...23","...24","...25","...26","...27","...28","...29","...30","...31","...32","...33","...34","...35"
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","CHERRY PT/WILK. PT TO NEW BERN","",34.98806,-76.845,"NC","080311","535000200","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","UPSTREAM DRNT/PUNGO PT","",35.52944,-76.55389,"NC","080312","528060003","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","UPSTREAM DRNT/PUNGO PT","",35.53056,-76.55556,"NC","080312","528060003","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","MOUTH TO CHERRY PT/WILKINSON PT.","",35.01583,-76.71194,"NC","080312","535000100","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","EB002, POLLOCK CREEK (PEMBROKE CREEK)","",36.07057,-76.64867,"NC","080313","207020000","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"3","Lepisosteidae","Lepisosteus osseus","MAULS PT/RGGD PT-GUM PT/GRRSN PT","",35.44167,-76.91528,"NC","080319","528000200","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","CR047, DEEP SWAMP","",36.30828,-76.72623,"NC","080326","208150000","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","UPSTREAM DRNT/PUNGO PT","",35.5325,-76.60833,"NC","080403","528060003","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"3","Lepisosteidae","Lepisosteus osseus","GUM PT./GARRISON PT. TO MOUTH","",35.41611,-76.67556,"NC","080408","528000100","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"4","Lepisosteidae","Lepisosteus osseus","CHERRY PT/WILK. PT TO NEW BERN","",35.055,-76.96194,"NC","080408","535000200","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"5","Lepisosteidae","Lepisosteus osseus","BATH CREEK","",35.45639,-76.82139,"NC","080409","528120000","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","BATH CREEK","",35.45694,-76.82306,"NC","080409","528120000","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","CHERRY PT/WILK. PT TO NEW BERN","",34.9825,-76.83778,"NC","080409","535000200","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","CR004, BENNETTS CREEK","",36.39918,-76.75035,"NC","080410","208050000","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","CR006, CHINKAPIN CREEK","",36.28436,-76.84277,"NC","080411","208140100","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"2","Lepisosteidae","Lepisosteus osseus","UPSTREAM OF MAULS PT/RAGGED PT","",35.47917,-76.97472,"NC","080415","528000300","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","UPSTREAM OF MAULS PT/RAGGED PT","",35.48417,-76.97556,"NC","080415","528000300","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"5","Lepisosteidae","Lepisosteus osseus","GREENS CREEK","",35.025,-76.71417,"NC","080415","535080000","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","CR004, BENNETTS CREEK","",36.39918,-76.75035,"NC","080415","208050000","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","EB008, POLLOCK CREEK (PEMBROKE CREEK)","",36.08815,-76.64137,"NC","080415","207020000","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","EB017, POLLOCK CREEK (PEMBROKE CREEK)","",36.066,-76.648,"NC","080415","207020000","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","CHERRY PT/WILK. PT TO NEW BERN","",35.06444,-76.98639,"NC","080417","535000200","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","CHERRY PT/WILK. PT TO NEW BERN","",35.065,-76.985,"NC","080417","535000200","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","EB017, POLLOCK CREEK (PEMBROKE CREEK)","",36.066,-76.648,"NC","080417","207020000","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","GUM PT./GARRISON PT. TO MOUTH","",35.40972,-76.66194,"NC","080422","528000100","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"3","Lepisosteidae","Lepisosteus osseus","MAULS PT/RGGD PT-GUM PT/GRRSN PT","",35.44333,-76.8125,"NC","080422","528000200","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","CHERRY PT/WILK. PT TO NEW BERN","",35.02361,-76.92167,"NC","080422","535000200","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","CHERRY PT/WILK. PT TO NEW BERN","",35.02861,-76.92,"NC","080422","535000200","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","EB010, QUEEN ANNE CREEK","",36.05594,-76.60601,"NC","080422","207010000","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"6","Lepisosteidae","Lepisosteus osseus","EB013, POLLOCK CREEK (PEMBROKE CREEK)","",36.05768,-76.62659,"NC","080422","207020000","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"9","Lepisosteidae","Lepisosteus osseus","CHERRY PT/WILK. PT TO NEW BERN","",34.96806,-76.81222,"NC","080423","535000200","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"5","Lepisosteidae","Lepisosteus osseus","CHERRY PT/WILK. PT TO NEW BERN","",34.96833,-76.81111,"NC","080423","535000200","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","EB010, QUEEN ANNE CREEK","",36.05594,-76.60601,"NC","080423","207010000","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"3","Lepisosteidae","Lepisosteus osseus","EB013, POLLOCK CREEK (PEMBROKE CREEK)","",36.05768,-76.62659,"NC","080424","207020000","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","EB019, DRAINAGE DITCH","",36.06132,-76.61647,"NC","080424","207030000","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","EB010, QUEEN ANNE CREEK","",36.05594,-76.60601,"NC","080425","207010000","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","EB013, POLLOCK CREEK (PEMBROKE CREEK)","",36.05768,-76.62659,"NC","080425","207020000","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"2","Lepisosteidae","Lepisosteus osseus","MR012, INDIAN CREEK","",36.354,-77.073,"NC","080425","208190101","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"16","Lepisosteidae","Lepisosteus osseus","UPSTREAM OF MAULS PT/RAGGED PT","",35.47556,-76.98861,"NC","080429","528000300","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"2","Lepisosteidae","Lepisosteus osseus","CR046, AHOSKIE CREEK","",36.24472,-76.94666,"NC","080429","208140200","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","MOUTH TO CHERRY PT/WILKINSON PT.","",34.97333,-76.77639,"NC","080430","535000100","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","MOUTH TO CHERRY PT/WILKINSON PT.","",34.97556,-76.77611,"NC","080430","535000100","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"6","Lepisosteidae","Lepisosteus osseus","UPSTREAM OF MAULS PT/RAGGED PT","",35.50861,-77.02389,"NC","080501","528000300","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","MOUTH TO CHERRY PT/WILKINSON PT.","",34.935,-76.71917,"NC","080502","535000100","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"2","Lepisosteidae","Lepisosteus osseus","MOUTH TO CHERRY PT/WILKINSON PT.","",34.93583,-76.72139,"NC","080502","535000100","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"2","Lepisosteidae","Lepisosteus osseus","SOUTH OF SNOW’S CUT","",34.05056,-77.93556,"NC","080502","1901030100","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"18","Lepisosteidae","Lepisosteus osseus","MAULS PT/RGGD PT-GUM PT/GRRSN PT","",35.43778,-76.91056,"NC","080506","528000200","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"25","Lepisosteidae","Lepisosteus osseus","MAULS PT/RGGD PT-GUM PT/GRRSN PT","",35.43889,-76.90778,"NC","080506","528000200","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"13","Lepisosteidae","Lepisosteus osseus","CHERRY PT/WILK. PT TO NEW BERN","",35.01722,-76.89944,"NC","080506","535000200","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"4","Lepisosteidae","Lepisosteus osseus","CHERRY PT/WILK. PT TO NEW BERN","",35.01833,-76.89556,"NC","080506","535000200","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","CR018, AHOSKIE CREEK","",36.27481,-76.90173,"NC","080506","208140200","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","CR046, AHOSKIE CREEK","",36.24472,-76.94666,"NC","080506","208140200","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","MR001, POTECASI CREEK","",36.40646,-77.00301,"NC","080506","208190100","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"7","Lepisosteidae","Lepisosteus osseus","GUM PT./GARRISON PT. TO MOUTH","",35.41722,-76.69472,"NC","080507","528000100","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"4","Lepisosteidae","Lepisosteus osseus","GUM PT./GARRISON PT. TO MOUTH","",35.42056,-76.69694,"NC","080507","528000100","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"4","Lepisosteidae","Lepisosteus osseus","CHERRY PT/WILK. PT TO NEW BERN","",34.97167,-76.93194,"NC","080507","535000200","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"15","Lepisosteidae","Lepisosteus osseus","CHERRY PT/WILK. PT TO NEW BERN","",34.97417,-76.93278,"NC","080507","535000200","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"24","Lepisosteidae","Lepisosteus osseus","FARNELL BAY","",34.66861,-77.37167,"NC","080507","1201020200","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"3","Lepisosteidae","Lepisosteus osseus","CHERRY PT/WILK. PT TO NEW BERN","",35.09722,-77.00944,"NC","080508","535000200","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"5","Lepisosteidae","Lepisosteus osseus","CHERRY PT/WILK. PT TO NEW BERN","",35.09833,-77.01639,"NC","080508","535000200","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","CR018, AHOSKIE CREEK","",36.27481,-76.90173,"NC","080508","208140200","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","MR011, POTECASI CREEK","",36.371,-77.026,"NC","080509","208190100","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"26","Lepisosteidae","Lepisosteus osseus","GREENS CREEK","",35.02333,-76.70194,"NC","080513","535080000","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","GREENS CREEK","",35.02472,-76.70444,"NC","080513","535080000","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","BLOUNTS BAY","",35.43944,-76.95417,"NC","080515","528290000","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"11","Lepisosteidae","Lepisosteus osseus","BLOUNTS BAY","",35.44028,-76.95611,"NC","080515","528290000","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"8","Lepisosteidae","Lepisosteus osseus","CHERRY PT/WILK. PT TO NEW BERN","",35.0025,-76.87917,"NC","080515","535000200","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"6","Lepisosteidae","Lepisosteus osseus","CHERRY PT/WILK. PT TO NEW BERN","",35.00306,-76.87667,"NC","080515","535000200","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","LONG SHOAL RIVER","",35.59111,-75.87889,"NC","080520","503000000","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"2","Lepisosteidae","Lepisosteus osseus","CHERRY PT/WILK. PT TO NEW BERN","",35.01806,-76.98139,"NC","080520","535000200","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"7","Lepisosteidae","Lepisosteus osseus","CHERRY PT/WILK. PT TO NEW BERN","",35.01889,-76.98083,"NC","080520","535000200","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","FARNELL BAY","",34.65556,-77.35556,"NC","080520","1201020200","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","NORTHEAST CREEK","",34.72694,-77.37583,"NC","080520","1201030300","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"5","Lepisosteidae","Lepisosteus osseus","MAULS PT/RGGD PT-GUM PT/GRRSN PT","",35.42972,-76.8875,"NC","080521","528000200","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"15","Lepisosteidae","Lepisosteus osseus","MAULS PT/RGGD PT-GUM PT/GRRSN PT","",35.43083,-76.88556,"NC","080521","528000200","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"4","Lepisosteidae","Lepisosteus osseus","ROSE BAY CREEK","",35.45028,-76.41167,"NC","080522","526030000","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","GAYLORD BAY","",35.42194,-76.73861,"NC","080522","528090000","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"2","Lepisosteidae","Lepisosteus osseus","GAYLORD BAY","",35.42556,-76.74583,"NC","080522","528090000","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"5","Lepisosteidae","Lepisosteus osseus","CHERRY PT/WILK. PT TO NEW BERN","",35.03194,-76.98556,"NC","080522","535000200","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"14","Lepisosteidae","Lepisosteus osseus","CHERRY PT/WILK. PT TO NEW BERN","",35.03306,-76.98389,"NC","080522","535000200","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","JUNIPER BAY","",35.34611,-76.20861,"NC","080523","521000000","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"4","Lepisosteidae","Lepisosteus osseus","UPSTREAM DRNT/PUNGO PT","",35.52639,-76.55556,"NC","080528","528060003","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","UPSTREAM DRNT/PUNGO PT","",35.5325,-76.55333,"NC","080528","528060003","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"2","Lepisosteidae","Lepisosteus osseus","DRNT/PNGO PT-SNDY/OFLD","",35.47,-76.55806,"NC","080603","528060002","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","GUM PT./GARRISON PT. TO MOUTH","",35.42722,-76.70944,"NC","080604","528000100","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"6","Lepisosteidae","Lepisosteus osseus","MORGAN BAY","",34.68944,-77.40889,"NC","080604","1201020300","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"15","Lepisosteidae","Lepisosteus osseus","NORTHEAST CREEK","",34.71972,-77.40833,"NC","080604","1201030300","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","PAR16, EAST PRONG","",35.34,-76.644,"NC","080604","528390101","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","GUM PT./GARRISON PT. TO MOUTH","",35.39611,-76.80861,"NC","080605","528000100","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"4","Lepisosteidae","Lepisosteus osseus","GUM PT./GARRISON PT. TO MOUTH","",35.39861,-76.80722,"NC","080605","528000100","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"2","Lepisosteidae","Lepisosteus osseus","MOUTH TO CHERRY PT/WILKINSON PT.","",34.99583,-76.74583,"NC","080605","535000100","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","EAST BLUFF BAY","",35.35028,-76.14056,"NC","080606","518000000","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","COUTRHOUSE BAY","",34.61361,-77.3625,"NC","080606","1201010600","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","UPSTREAM OF MAULS PT/RAGGED PT","",35.42556,-76.96861,"NC","080610","528000300","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"33","Lepisosteidae","Lepisosteus osseus","UPSTREAM OF MAULS PT/RAGGED PT","",35.44222,-76.96722,"NC","080610","528000300","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"4","Lepisosteidae","Lepisosteus osseus","UPSTREAM OF MAULS PT/RAGGED PT","",35.44222,-76.96861,"NC","080610","528000300","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","CN11, VANDEMERE CREEK","",35.2,-76.661,"NC","080610","534100000","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"11","Lepisosteidae","Lepisosteus osseus","DRNT/PNGO PT-SNDY/OFLD","",35.50778,-76.62611,"NC","080611","528060002","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"65","Lepisosteidae","Lepisosteus osseus","CHERRY PT/WILK. PT TO NEW BERN","",34.9825,-76.94472,"NC","080611","535000200","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"6","Lepisosteidae","Lepisosteus osseus","CHERRY PT/WILK. PT TO NEW BERN","",34.9825,-76.94528,"NC","080611","535000200","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","11, INDIANTOWN CREEK","",36.355,-76.041,"NC","080611","201100000","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","GUM PT./GARRISON PT. TO MOUTH","",35.42361,-76.72361,"NC","080612","528000100","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"42","Lepisosteidae","Lepisosteus osseus","ABOVE NEW BERN","",35.09333,-77.01083,"NC","080612","535000300","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"2","Lepisosteidae","Lepisosteus osseus","DUCK CREEK","",35.09694,-77.00806,"NC","080612","535140000","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","CFR1, CAPE FEAR RIVER, WILMINGTON AND ABOVE","",34.252,-77.968,"NC","080617","1902000000","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"3","Lepisosteidae","Lepisosteus osseus","NEW RIVER","",34.6775,-77.39278,"NC","080620","1201030100","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","NEW RIVER","",34.74028,-77.42417,"NC","080620","1201030100","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","MAULS PT/RGGD PT-GUM PT/GRRSN PT","",35.44889,-76.83639,"NC","080624","528000200","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"2","Lepisosteidae","Lepisosteus osseus","CHERRY PT/WILK. PT TO NEW BERN","",35.02583,-76.90361,"NC","080624","535000200","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"5","Lepisosteidae","Lepisosteus osseus","CHOCOWINITY BAY","",35.50639,-77.04417,"NC","080625","528230000","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"3","Lepisosteidae","Lepisosteus osseus","CHOCOWINITY BAY","",35.5075,-77.04472,"NC","080625","528230000","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"2","Lepisosteidae","Lepisosteus osseus","ABOVE NEW BERN","",35.12639,-77.02889,"NC","080626","535000300","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","ABOVE NEW BERN","",35.12694,-77.02778,"NC","080626","535000300","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"2","Lepisosteidae","Lepisosteus osseus","DRNT/PNGO PT-SNDY/OFLD","",35.48833,-76.61111,"NC","080701","528060002","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","ABOVE NEW BERN","",35.10361,-77.01944,"NC","080701","535000300","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"13","Lepisosteidae","Lepisosteus osseus","ABOVE NEW BERN","",35.10611,-77.02278,"NC","080701","535000300","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","GUM PT./GARRISON PT. TO MOUTH","",35.34222,-76.64694,"NC","080702","528000100","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"21","Lepisosteidae","Lepisosteus osseus","CHERRY PT/WILK. PT TO NEW BERN","",35.05472,-76.96056,"NC","080702","535000200","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"3","Lepisosteidae","Lepisosteus osseus","CHERRY PT/WILK. PT TO NEW BERN","",35.05639,-76.96028,"NC","080702","535000200","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","GUM PT./GARRISON PT. TO MOUTH","",35.39861,-76.81444,"NC","080708","528000100","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","GUM PT./GARRISON PT. TO MOUTH","",35.39944,-76.81306,"NC","080708","528000100","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"17","Lepisosteidae","Lepisosteus osseus","UPSTREAM OF MAULS PT/RAGGED PT","",35.48167,-76.97083,"NC","080709","528000300","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","SWANQUARTER BAY","",35.40028,-76.34639,"NC","080710","522000000","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","E. OF BLUFF TO LONG SH./RODAN.","",35.35889,-76.09861,"NC","080711","500170100","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"2","Lepisosteidae","Lepisosteus osseus","E. OF BLUFF TO LONG SH./RODAN.","",35.36083,-76.0975,"NC","080711","500170100","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","38, PERQUIMANS RIVER","",36.188,-76.458,"NC","080711","205000000","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"94","Lepisosteidae","Lepisosteus osseus","CHERRY PT/WILK. PT TO NEW BERN","",35.06889,-77.01333,"NC","080715","535000200","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","CHERRY PT/WILK. PT TO NEW BERN","",35.07083,-77.01444,"NC","080715","535000200","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"11","Lepisosteidae","Lepisosteus osseus","SOUTHWEST CREEK","",34.70194,-77.42583,"NC","080715","1201030200","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"39","Lepisosteidae","Lepisosteus osseus","CHERRY PT/WILK. PT TO NEW BERN","",35.05417,-76.97556,"NC","080716","535000200","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"7","Lepisosteidae","Lepisosteus osseus","CAPE FEAR RIVER BELOW WILMINGTON","",34.11278,-77.94444,"NC","080717","1901000000","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","CAPE FEAR RIVER BELOW WILMINGTON","",34.11556,-77.945,"NC","080717","1901000000","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"3","Lepisosteidae","Lepisosteus osseus","MAULS PT/RGGD PT-GUM PT/GRRSN PT","",35.42722,-76.87361,"NC","080721","528000200","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","CHERRY PT/WILK. PT TO NEW BERN","",35.01722,-76.89333,"NC","080722","535000200","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"2","Lepisosteidae","Lepisosteus osseus","UPSTREAM OF MAULS PT/RAGGED PT","",35.48889,-76.98583,"NC","080723","528000300","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","MOUTH TO CHERRY PT/WILKINSON PT.","",34.98056,-76.66111,"NC","080723","535000100","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"4","Lepisosteidae","Lepisosteus osseus","UPSTREAM OF MAULS PT/RAGGED PT","",35.51472,-77.01389,"NC","080805","528000300","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"16","Lepisosteidae","Lepisosteus osseus","UPPER NEW RIVER","",34.69333,-77.42306,"NC","080805","1201030000","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"2","Lepisosteidae","Lepisosteus osseus","MAULS PT/RGGD PT-GUM PT/GRRSN PT","",35.44111,-76.80917,"NC","080806","528000200","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","CHERRY PT/WILK. PT TO NEW BERN","",34.94917,-76.89111,"NC","080806","535000200","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"4","Lepisosteidae","Lepisosteus osseus","CHERRY PT/WILK. PT TO NEW BERN","",34.94972,-76.89028,"NC","080806","535000200","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","CHERRY PT/WILK. PT TO NEW BERN","",34.99028,-76.95667,"NC","080807","535000200","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"18","Lepisosteidae","Lepisosteus osseus","CHERRY PT/WILK. PT TO NEW BERN","",34.99222,-76.95583,"NC","080807","535000200","",,,,,,,,,,,,,,,,,,,,,,
