"Institution.Source","Catalog.Number","Number.of.specimens","Family","Scientific.name","Locality","County","Latitude","Longitude","State","Date.Collected","Field.Locality.number","Collectors","...14","...15","...16","...17","...18","...19","...20","...21","...22","...23","...24","...25","...26","...27","...28","...29","...30","...31","...32","...33","...34","...35"
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","DRNT/PNGO PT-SNDY/OFLD","",35.50444,-76.61917,"NC","000802","528060002","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"10","Lepisosteidae","Lepisosteus osseus","UPSTREAM OF MAULS PT/RAGGED PT","",35.46556,-76.96694,"NC","000808","528000300","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"10","Lepisosteidae","Lepisosteus osseus","UPSTREAM OF MAULS PT/RAGGED PT","",35.48306,-76.98917,"NC","000808","528000300","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","MAULS PT/RGGD PT-GUM PT/GRRSN PT","",35.39889,-76.79583,"NC","000810","528000200","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"2","Lepisosteidae","Lepisosteus osseus","MAULS PT/RGGD PT-GUM PT/GRRSN PT","",35.43056,-76.86694,"NC","000810","528000200","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"6","Lepisosteidae","Lepisosteus osseus","UPSTREAM OF MAULS PT/RAGGED PT","",35.46833,-76.94111,"NC","000811","528000300","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"2","Lepisosteidae","Lepisosteus osseus","UPSTREAM OF MAULS PT/RAGGED PT","",35.47,-76.92917,"NC","000811","528000300","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"3","Lepisosteidae","Lepisosteus osseus","UPSTREAM OF MAULS PT/RAGGED PT","",35.47083,-76.95056,"NC","000811","528000300","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"2","Lepisosteidae","Lepisosteus osseus","UPSTREAM OF MAULS PT/RAGGED PT","",35.47194,-76.93861,"NC","000811","528000300","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","ABOVE NEW BERN","",35.10861,-77.01917,"NC","000815","535000300","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","CHERRY PT/WILK. PT TO NEW BERN","",34.96917,-76.92056,"NC","000816","535000200","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"5","Lepisosteidae","Lepisosteus osseus","CHERRY PT/WILK. PT TO NEW BERN","",35.03694,-76.93722,"NC","000816","535000200","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","CHERRY PT/WILK. PT TO NEW BERN","",35.0575,-76.9625,"NC","000816","535000200","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","CHERRY PT/WILK. PT TO NEW BERN","",34.94083,-76.85361,"NC","000818","535000200","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"12","Lepisosteidae","Lepisosteus osseus","UPSTREAM OF MAULS PT/RAGGED PT","",35.47528,-76.98583,"NC","000822","528000300","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","NORTHEAST CREEK","",34.72389,-77.36944,"NC","000822","1201030300","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"3","Lepisosteidae","Lepisosteus osseus","UPSTREAM OF MAULS PT/RAGGED PT","",35.45917,-76.9175,"NC","000912","528000300","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"3","Lepisosteidae","Lepisosteus osseus","UPSTREAM OF MAULS PT/RAGGED PT","",35.52139,-77.02083,"NC","000912","528000300","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","GUM PT./GARRISON PT. TO MOUTH","",35.36389,-76.6875,"NC","000913","528000100","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"2","Lepisosteidae","Lepisosteus osseus","MAULS PT/RGGD PT-GUM PT/GRRSN PT","",35.39528,-76.79306,"NC","000921","528000200","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"2","Lepisosteidae","Lepisosteus osseus","UPSTREAM OF MAULS PT/RAGGED PT","",35.46722,-76.91861,"NC","001003","528000300","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","CHERRY PT/WILK. PT TO NEW BERN","",35.045,-76.93861,"NC","001009","535000200","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"4","Lepisosteidae","Lepisosteus osseus","NEW RIVER","",34.7125,-77.42694,"NC","001012","1201030100","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","CR006, CHINKAPIN CREEK","",36.28436,-76.84277,"NC","010323","208140100","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","CR005, SALMON CREEK","",36.03725,-76.76387,"NC","010410","208200000","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","CR045, BROOKS CREEK","",36.32188,-76.82823,"NC","010410","208140500","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","CR018, AHOSKIE CREEK","",36.27481,-76.90173,"NC","010412","208140200","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","CR005, SALMON CREEK","",36.03725,-76.76387,"NC","010424","208200000","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"3","Lepisosteidae","Lepisosteus osseus","EB001, QUEEN ANNE CREEK","",36.05934,-76.58483,"NC","010424","207010000","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"3","Lepisosteidae","Lepisosteus osseus","CR005, SALMON CREEK","",36.03725,-76.76387,"NC","010425","208200000","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"2","Lepisosteidae","Lepisosteus osseus","OUTFALL CANAL","",35.36,-76.10472,"NC","010516","516000000","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","A25, CAMPBELL CREEK","",35.28672,-76.64753,"NC","010604","528400500","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"8","Lepisosteidae","Lepisosteus osseus","56S, COLER./CHOW.B./N.HOLIDAY IS.","",36.228,-76.706,"NC","010618","208000300","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","OUTFALL CANAL","",35.35056,-76.09306,"NC","010619","516000000","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"5","Lepisosteidae","Lepisosteus osseus","EAST BLUFF BAY","",35.355,-76.11333,"NC","010627","518000000","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"5","Lepisosteidae","Lepisosteus osseus","OUTFALL CANAL","",35.35472,-76.11333,"NC","010907","516000000","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","TOOLEY CREEK","",35.42833,-76.41111,"NC","011213","526050000","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","PAR11, SOUTH CREEK","",35.309,-76.783,"NC","020508","528370000","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"2","Lepisosteidae","Lepisosteus osseus","EAST BLUFF BAY","",35.35389,-76.1425,"NC","020509","518000000","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","CFR1, CAPE FEAR RIVER, WILMINGTON AND ABOVE","",34.252,-77.968,"NC","020509","1902000000","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","PAR59, FRYINGPAN CREEK","",35.414,-76.654,"NC","020510","528070100","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","E23, GIDEON CREEK","",35.08483,-76.6332,"NC","020513","535030500","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"2","Lepisosteidae","Lepisosteus osseus","A25, CAMPBELL CREEK","",35.28672,-76.64753,"NC","020515","528400500","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"6","Lepisosteidae","Lepisosteus osseus","A25, CAMPBELL CREEK","",35.28672,-76.64753,"NC","020604","528400500","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","OUTFALL CANAL","",35.35972,-76.10556,"NC","020611","516000000","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","PAR57, LITTLE CREEK","",35.313,-76.764,"NC","020618","528370900","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","NE45, SMITH CREEK TO LANE FERRY","",34.43889,-77.82917,"NC","020718","1902030100","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","ROSE BAY","",35.455,-76.42194,"NC","020723","526000000","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"16","Lepisosteidae","Lepisosteus osseus","OUTFALL CANAL","",35.36056,-76.10472,"NC","020814","516000000","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"3","Lepisosteidae","Lepisosteus osseus","NE44, SMITH CREEK TO LANE FERRY","",34.37583,-77.86389,"NC","020828","1902030100","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","NE45, SMITH CREEK TO LANE FERRY","",34.43889,-77.82917,"NC","020829","1902030100","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","NE43, SMITH CREEK TO LANE FERRY","",34.368,-77.932,"NC","020911","1902030100","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"2","Lepisosteidae","Lepisosteus osseus","OUTFALL CANAL","",35.35611,-76.11083,"NC","020912","516000000","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","NE45, SMITH CREEK TO LANE FERRY","",34.43889,-77.82917,"NC","020912","1902030100","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"3","Lepisosteidae","Lepisosteus osseus","PINGLETON SHOAL","",35.58222,-75.8825,"NC","020917","500380000","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","MIDDLETOWN CREEK","",35.49111,-75.97389,"NC","021017","509010000","",,,,,,,,,,,,,,,,,,,,,,
